"","Sample_ID","Site_ID","Latitude","Longitude","Elevation_mabsl","Collection_Date","d2H","d18O","Precipitation_mm"
"1","ChileanWaters_0188","isomap_8580100",-41.47,-72.93,13,1991-01-01,-26,-4.9,96.1
"2","ChileanWaters_0189","isomap_8580100",-41.47,-72.93,13,1991-02-01,-24,-3.9,47.9
"3","ChileanWaters_0190","isomap_8580100",-41.47,-72.93,13,1991-03-01,-31,-4.9,84.3
"4","ChileanWaters_0191","isomap_8580100",-41.47,-72.93,13,1991-04-01,-36,-5.7,123.8
"5","ChileanWaters_0192","isomap_8580100",-41.47,-72.93,13,1991-05-01,-73,-10,233.4
"6","ChileanWaters_0193","isomap_8580100",-41.47,-72.93,13,1991-08-01,-43,-7.1,139
"7","ChileanWaters_0194","isomap_8580100",-41.47,-72.93,13,1991-12-01,-55,-7.7,310.7
"8","ChileanWaters_0195","isomap_8580100",-41.47,-72.93,13,1992-04-01,-42,-6.5,248
"9","ChileanWaters_0196","isomap_8580100",-41.47,-72.93,13,1992-05-01,-58,-8.2,246
"10","ChileanWaters_0197","isomap_8580100",-41.47,-72.93,13,1992-06-01,-59,-8.4,217.6
"11","ChileanWaters_0198","isomap_8580100",-41.47,-72.93,13,1992-07-01,-71,-10.3,108.6
"12","ChileanWaters_0199","isomap_8580100",-41.47,-72.93,13,1992-08-01,-52,-7.9,110.4
"13","ChileanWaters_0200","isomap_8580100",-41.47,-72.93,13,1992-09-01,-63,-9.3,202.8
"14","ChileanWaters_0201","isomap_8580100",-41.47,-72.93,13,1992-10-01,-46,-7.4,288.2
"15","ChileanWaters_0202","isomap_8580100",-41.47,-72.93,13,1993-04-01,-37,-5.7,226
"16","ChileanWaters_0203","isomap_8580100",-41.47,-72.93,13,1993-05-01,-94,-13.5,259
"17","ChileanWaters_0204","isomap_8580100",-41.47,-72.93,13,1993-06-01,-46,-7.4,263
"18","ChileanWaters_0205","isomap_8580100",-41.47,-72.93,13,1993-07-01,-48,-7.4,233
"19","ChileanWaters_0206","isomap_8580100",-41.47,-72.93,13,1993-08-01,-51,-7.3,97
"20","ChileanWaters_0207","isomap_8580100",-41.47,-72.93,13,1993-09-01,-28,-4.6,50
"21","ChileanWaters_0208","isomap_8580100",-41.47,-72.93,13,1993-10-01,-28,-4.8,125
"22","ChileanWaters_0209","isomap_8580100",-41.47,-72.93,13,1993-11-01,-37,-6,181
"23","ChileanWaters_0210","isomap_8580100",-41.47,-72.93,13,1993-12-01,-25,-4,90
"24","ChileanWaters_0211","isomap_8580100",-41.47,-72.93,13,1994-03-01,-38,-5.9,59
"25","ChileanWaters_0212","isomap_8580100",-41.47,-72.93,13,1994-04-01,-54,-8.4,152
"26","ChileanWaters_0213","isomap_8580100",-41.47,-72.93,13,1994-05-01,-47,-7.6,248
"27","ChileanWaters_0214","isomap_8580100",-41.47,-72.93,13,1994-06-01,-55,-7.8,314
"28","ChileanWaters_0215","isomap_8580100",-41.47,-72.93,13,1994-07-01,-61,-8.7,215
"29","ChileanWaters_0216","isomap_8580100",-41.47,-72.93,13,1995-03-01,-22,-4.1,60.8
"30","ChileanWaters_0217","isomap_8580100",-41.47,-72.93,13,1995-04-01,-38,-6.2,136.4
"31","ChileanWaters_0218","isomap_8580100",-41.47,-72.93,13,1995-05-01,-33,-5.9,209.8
"32","ChileanWaters_0219","isomap_8580100",-41.47,-72.93,13,1995-06-01,-56,-8.2,292
"33","ChileanWaters_0220","isomap_8580100",-41.47,-72.93,13,1995-07-01,-44,-8,181.4
"34","ChileanWaters_0221","isomap_8580100",-41.47,-72.93,13,1995-08-01,-62,-9.8,163.4
"35","ChileanWaters_0222","isomap_8580100",-41.47,-72.93,13,1995-09-01,-45,-6.5,85.8
"36","ChileanWaters_0223","isomap_8580100",-41.47,-72.93,13,1995-10-01,-49,-7.7,110.5
"37","ChileanWaters_0224","isomap_8580100",-41.47,-72.93,13,1995-11-01,-38,-6.9,49.6
"38","ChileanWaters_0225","isomap_8580100",-41.47,-72.93,13,1995-12-01,-15,-3.6,8.9
"39","ChileanWaters_0226","isomap_8580100",-41.47,-72.93,13,1996-01-01,-26,-3.5,59.3
"40","ChileanWaters_0227","isomap_8580100",-41.47,-72.93,13,1996-02-01,-42,-5.8,69
"41","ChileanWaters_0228","isomap_8580100",-41.47,-72.93,13,1996-03-01,-23,-4.1,146.8
"42","ChileanWaters_0229","isomap_8580100",-41.47,-72.93,13,1996-04-01,-36,-6.1,117.6
"43","ChileanWaters_0230","isomap_8580100",-41.47,-72.93,13,1996-05-01,-46,-6.9,134.2
